"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1333.3,-0.0034514,0.0013916,900,0,0,0
899.97,1131.4,-899.97,1333,-0.092902,-0.088116,899.97,-800,-800,0
899.95,2262.7,-899.95,1332.7,-0.18235,-0.17762,899.95,-1600,-1600,0
899.92,3394.1,-899.92,1332.4,-0.2718,-0.26713,899.92,-2400,-2400,0
899.89,4525.5,-899.89,1332.1,-0.36126,-0.35664,899.89,-3200,-3200,0
899.84,5703.8,-899.84,1331.6,-0.45084,-0.44603,899.84,-4000,-4000,0
899.76,6945.7,-899.76,1330.9,-0.54061,-0.53527,899.76,-4800,-4800,0
899.68,8187.6,-899.68,1330.2,-0.63038,-0.62451,899.68,-5600,-5600,0
899.6,9374.3,-899.6,1329.4,-0.72015,-0.71414,899.6,-6400,-6400,0
899.49,10429,-899.49,1328.5,-0.80992,-0.80468,899.49,-7200,-7200,0
899.38,11484,-899.38,1327.7,-0.89969,-0.89523,899.38,-8000,-8000,0
899.27,12570,-899.27,1326.8,-0.98965,-0.98577,899.27,-8800,-8800,0
899.15,13702,-899.15,1325.8,-1.08,-1.0763,899.15,-9600,-9600,0
898.99,14794,-898.99,1324.8,-1.1714,-1.1663,898.99,-10400,-10400,0
898.83,15886,-898.83,1323.8,-1.2627,-1.2564,898.83,-11200,-11200,0
898.68,16984,-898.68,1322.8,-1.3541,-1.3465,898.68,-12000,-12000,0
898.51,18136,-898.51,1321.8,-1.4452,-1.4369,898.51,-12800,-12800,0
898.3,19278,-898.3,1320.8,-1.536,-1.5289,898.3,-13600,-13600,0
898.08,20435,-898.08,1319.8,-1.6268,-1.6209,898.08,-14400,-14400,0
897.87,21593,-897.87,1318.7,-1.7176,-1.713,897.87,-15200,-15200,0
897.65,22740,-897.65,1317.7,-1.8086,-1.8049,897.65,-16000,-16000,0
897.41,23841,-897.41,1316.6,-1.901,-1.8967,897.41,-16800,-16800,0
897.16,24960,-897.16,1315.5,-1.9935,-1.9885,897.16,-17600,-17600,0
896.9,26109,-896.9,1314.4,-2.0864,-2.0802,896.9,-18400,-18400,0
896.63,27251,-896.63,1313.2,-2.1791,-2.1721,896.63,-19200,-19200,0
896.33,28366,-896.33,1312.1,-2.2714,-2.2649,896.33,-20000,-20000,0
896.04,29480,-896.04,1311,-2.3637,-2.3578,896.04,-20800,-20800,0
895.74,30594,-895.74,1310,-2.456,-2.4506,895.74,-21600,-21600,0
895.43,31730,-895.43,1308.9,-2.5487,-2.5435,895.43,-22400,-22400,0
895.11,32832,-895.11,1307.7,-2.6425,-2.6367,895.11,-23200,-23200,0
894.76,33964,-894.76,1306.4,-2.7361,-2.7303,894.76,-24000,-24000,0
894.4,35104,-894.4,1305.2,-2.8297,-2.824,894.4,-24800,-24800,0
894.04,36251,-894.04,1304.1,-2.9232,-2.9178,894.04,-25600,-25600,0
893.65,37409,-893.65,1302.9,-3.0165,-3.0116,893.65,-26400,-26400,0
893.26,38532,-893.26,1301.8,-3.1108,-3.1059,893.26,-27200,-27200,0
892.86,39646,-892.86,1300.6,-3.2053,-3.2003,892.86,-28000,-28000,0
892.46,40760,-892.46,1299.4,-3.2998,-3.2947,892.46,-28800,-28800,0
892.05,41886,-892.05,1298.1,-3.3946,-3.3891,892.05,-29600,-29600,0
891.6,43008,-891.6,1296.9,-3.4896,-3.484,891.6,-30400,-30400,0
891.15,44130,-891.15,1295.7,-3.5846,-3.579,891.15,-31200,-31200,0
890.69,45274,-890.69,1294.5,-3.6796,-3.6742,890.69,-32000,-32000,0
890.23,46418,-890.23,1293.3,-3.7745,-3.7693,890.23,-32800,-32800,0
889.75,47539,-889.75,1292.1,-3.8702,-3.8651,889.75,-33600,-33600,0
889.24,48682,-889.24,1290.8,-3.9663,-3.9611,889.24,-34400,-34400,0
888.73,49824,-888.73,1289.6,-4.0625,-4.0571,888.73,-35200,-35200,0
888.23,50967,-888.23,1288.3,-4.1586,-4.1532,888.23,-36000,-36000,0
887.69,52088,-887.69,1287.1,-4.2549,-4.2498,887.69,-36800,-36800,0
887.16,53208,-887.16,1285.9,-4.3511,-4.3465,887.16,-37600,-37600,0
886.61,54340,-886.61,1284.7,-4.4478,-4.4432,886.61,-38400,-38400,0
886.05,55481,-886.05,1283.4,-4.5448,-4.5397,886.05,-39200,-39200,0
885.47,56603,-885.47,1282.2,-4.6422,-4.6372,885.47,-40000,-40000,0
884.88,57724,-884.88,1280.9,-4.7396,-4.7347,884.88,-40800,-40800,0
884.29,58845,-884.29,1279.6,-4.837,-4.8322,884.29,-41600,-41600,0
883.7,59970,-883.7,1278.4,-4.9346,-4.9297,883.7,-42400,-42400,0
883.07,61099,-883.07,1277.1,-5.0329,-5.0279,883.07,-43200,-43200,0
882.42,62240,-882.42,1275.8,-5.1311,-5.1262,882.42,-44000,-44000,0
