Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
29,21460,-257.739,1e+20,433013,1,1573.78,0.00378495,1284.84,-598472,150000,21460,0,151527,0,0.3,7.85639,11.5354,1e+20,1,150000,21460,-257.739,1316.04
30,22200,-259.948,1e+20,433013,1,1574.9,0.00378579,1283.49,-598366,150000,22200,0,151634,0,0.3,8.09085,11.9849,1e+20,1,150000,22200,-259.948,1314.95
31,22940,-262.201,1e+20,433013,1,1576.05,0.00378665,1282.11,-598256,150000,22940,0,151744,0,0.3,8.32529,12.4375,1e+20,1,150000,22940,-262.201,1313.85
32,23680,-264.449,1e+20,433013,1,1577.18,0.00378756,1280.72,-598142,150000,23680,0,151858,0,0.3,8.56052,12.8924,1e+20,1,150000,23680,-264.449,1312.73
33,24420,-266.65,1e+20,433013,1,1578.26,0.00378848,1279.33,-598025,150000,24420,0,151975,0,0.3,8.797,13.3491,1e+20,1,150000,24420,-266.65,1311.6
34,25160,-268.867,1e+20,433013,1,1579.33,0.00378944,1277.92,-597904,150000,25160,0,152095,0,0.3,9.03319,13.8081,1e+20,1,150000,25160,-268.867,1310.46
35,25900,-271.1,1e+20,433013,1,1580.41,0.00379042,1276.49,-597780,150000,25900,0,152220,0,0.3,9.26896,14.2694,1e+20,1,150000,25900,-271.1,1309.31
36,26640,-273.301,1e+20,433013,1,1581.44,0.00379142,1275.05,-597653,150000,26640,0,152347,0,0.3,9.50492,14.732,1e+20,1,150000,26640,-273.301,1308.14
37,27380,-275.437,1e+20,433013,1,1582.4,0.00379245,1273.62,-597521,150000,27380,0,152478,0,0.3,9.74094,15.1955,1e+20,1,150000,27380,-275.437,1306.96
38,28120,-277.581,1e+20,433013,1,1583.34,0.0037935,1272.16,-597387,150000,28120,0,152613,0,0.3,9.976,15.6607,1e+20,1,150000,28120,-277.581,1305.76
39,28860,-279.718,1e+20,433013,1,1584.27,0.00379458,1270.7,-597249,150000,28860,0,152751,0,0.3,10.2102,16.1275,1e+20,1,150000,28860,-279.718,1304.55
40,29600,-281.791,1e+20,433013,1,1585.13,0.00379569,1269.23,-597107,150000,29600,0,152893,0,0.3,10.4439,16.5945,1e+20,1,150000,29600,-281.791,1303.34
41,30340,-283.788,1e+20,433013,1,1585.9,0.00379682,1267.76,-596962,150000,30340,0,153038,0,0.3,10.6765,17.0614,1e+20,1,150000,30340,-283.788,1302.11
42,31080,-285.787,1e+20,433013,1,1586.65,0.00379798,1266.27,-596813,150000,31080,0,153186,0,0.3,10.9077,17.5297,1e+20,1,150000,31080,-285.787,1300.86
43,31820,-287.756,1e+20,433013,1,1587.37,0.00379916,1264.78,-596662,150000,31820,0,153338,0,0.3,11.1375,17.9985,1e+20,1,150000,31820,-287.756,1299.61
44,32560,-289.63,1e+20,433013,1,1587.98,0.00380037,1263.29,-596507,150000,32560,0,153493,0,0.3,11.3659,18.4665,1e+20,1,150000,32560,-289.63,1298.34
45,33300,-291.424,1e+20,433013,1,1588.49,0.0038016,1261.79,-596348,150000,33300,0,153652,0,0.3,11.5924,18.9336,1e+20,1,150000,33300,-291.424,1297.07
46,34040,-293.214,1e+20,433013,1,1588.99,0.00380286,1260.29,-596186,150000,34040,0,153814,0,0.3,11.8169,19.4018,1e+20,1,150000,34040,-293.214,1295.78
47,34780,-294.955,1e+20,433013,1,1589.43,0.00380415,1258.77,-596020,150000,34780,0,153979,0,0.3,12.0397,19.8696,1e+20,1,150000,34780,-294.955,1294.48
48,35520,-296.57,1e+20,433013,1,1589.74,0.00380546,1257.27,-595851,150000,35520,0,154148,0,0.3,12.2599,20.3353,1e+20,1,150000,35520,-296.57,1293.17
49,36260,-298.109,1e+20,433013,1,1589.96,0.00380679,1255.76,-595679,150000,36260,0,154320,0,0.3,12.4778,20.7997,1e+20,1,150000,36260,-298.109,1291.85
50,37000,-299.635,1e+20,433013,1,1590.15,0.00380816,1254.24,-595504,150000,37000,0,154496,0,0.3,12.6933,21.2647,1e+20,1,150000,37000,-299.635,1290.51
51,37740,-301.097,1e+20,433013,1,1590.26,0.00380955,1252.72,-595325,150000,37740,0,154675,0,0.3,12.9065,21.7285,1e+20,1,150000,37740,-301.097,1289.16
52,38480,-302.407,1e+20,433013,1,1590.22,0.00381096,1251.2,-595143,150000,38480,0,154857,0,0.3,13.1162,22.189,1e+20,1,150000,38480,-302.407,1287.81
53,39220,-303.653,1e+20,433013,1,1590.1,0.0038124,1249.69,-594957,150000,39220,0,155043,0,0.3,13.3231,22.6483,1e+20,1,150000,39220,-303.653,1286.44
54,39960,-304.871,1e+20,433013,1,1589.93,0.00381387,1248.16,-594768,150000,39960,0,155231,0,0.3,13.5275,23.1073,1e+20,1,150000,39960,-304.871,1285.06
55,40700,-306.009,1e+20,433013,1,1589.68,0.00381537,1246.63,-594576,150000,40700,0,155424,0,0.3,13.7291,23.5645,1e+20,1,150000,40700,-306.009,1283.67
56,41440,-306.986,1e+20,433013,1,1589.26,0.00381689,1245.11,-594381,150000,41440,0,155619,0,0.3,13.9264,24.0175,1e+20,1,150000,41440,-306.986,1282.27
57,42180,-307.91,1e+20,433013,1,1588.77,0.00381844,1243.59,-594182,150000,42180,0,155818,0,0.3,14.1208,24.4693,1e+20,1,150000,42180,-307.91,1280.86
58,42920,-308.792,1e+20,433013,1,1588.23,0.00382002,1242.06,-593980,150000,42920,0,156020,0,0.3,14.3125,24.9203,1e+20,1,150000,42920,-308.792,1279.44
59,43660,-309.575,1e+20,433013,1,1587.58,0.00382162,1240.53,-593775,150000,43660,0,156225,0,0.3,14.5008,25.3686,1e+20,1,150000,43660,-309.575,1278
60,44400,-310.207,1e+20,433013,1,1586.76,0.00382326,1239.01,-593566,150000,44400,0,156433,0,0.3,14.6847,25.8125,1e+20,1,150000,44400,-310.207,1276.56
61,45140,-310.79,1e+20,433013,1,1585.89,0.00382492,1237.48,-593355,150000,45140,0,156645,0,0.3,14.8656,26.2552,1e+20,1,150000,45140,-310.79,1275.1
62,45880,-311.322,1e+20,433013,1,1584.95,0.00382661,1235.95,-593140,150000,45880,0,156860,0,0.3,15.0437,26.6966,1e+20,1,150000,45880,-311.322,1273.63
63,46620,-311.737,1e+20,433013,1,1583.89,0.00382833,1234.42,-592922,150000,46620,0,157078,0,0.3,15.2179,27.1345,1e+20,1,150000,46620,-311.737,1272.15
64,47360,-312.015,1e+20,433013,1,1582.68,0.00383007,1232.89,-592701,150000,47360,0,157299,0,0.3,15.3877,27.5681,1e+20,1,150000,47360,-312.015,1270.66
65,48100,-312.253,1e+20,433013,1,1581.41,0.00383185,1231.36,-592476,150000,48100,0,157523,0,0.3,15.5548,28.0008,1e+20,1,150000,48100,-312.253,1269.16
66,48840,-312.431,1e+20,433013,1,1580.08,0.00383365,1229.82,-592249,150000,48840,0,157751,0,0.3,15.719,28.4316,1e+20,1,150000,48840,-312.431,1267.64
67,49580,-312.478,1e+20,433013,1,1578.6,0.00383548,1228.29,-592018,150000,49580,0,157982,0,0.3,15.879,28.8584,1e+20,1,150000,49580,-312.478,1266.12
68,50320,-312.405,1e+20,433013,1,1576.99,0.00383734,1226.77,-591784,150000,50320,0,158215,0,0.3,16.035,29.2812,1e+20,1,150000,50320,-312.405,1264.58
69,51060,-312.302,1e+20,433013,1,1575.34,0.00383922,1225.23,-591547,150000,51060,0,158452,0,0.3,16.1884,29.7034,1e+20,1,150000,51060,-312.302,1263.03
