Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
707,348157,-1929.24,1e+20,433013,-1,428.208,-0.0100743,0,-130641,531400,318150,0,619359,0,0.3,248.66,334.852,1e+20,1,531400,318150,-381.976,46.237
708,348650,-1931.36,1e+20,433013,-1,427.496,-0.0100034,0,-130238,531600,318600,0,619762,0,0.3,249.395,334.945,1e+20,1,531600,318600,-381.341,46.1601
709,349142,-1933.44,1e+20,433013,-1,426.783,-0.00993187,0,-129835,531800,319050,0,620165,0,0.3,250.131,335.036,1e+20,1,531800,319050,-380.705,46.0831
710,349634,-1935.52,1e+20,433013,-1,426.072,-0.00986034,0,-129432,532000,319500,0,620568,0,0.3,250.863,335.126,1e+20,1,532000,319500,-380.071,46.0064
711,350127,-1937.63,1e+20,433013,-1,425.365,-0.00978848,0,-129029,532200,319950,0,620971,0,0.3,251.594,335.217,1e+20,1,532200,319950,-379.44,45.93
712,350619,-1939.76,1e+20,433013,-1,424.659,-0.00971611,0,-128626,532400,320400,0,621374,0,0.3,252.325,335.308,1e+20,1,532400,320400,-378.81,45.8538
713,351112,-1941.83,1e+20,433013,-1,423.953,-0.00964343,0,-128222,532600,320850,0,621778,0,0.3,253.052,335.395,1e+20,1,532600,320850,-378.181,45.7776
714,351604,-1943.89,1e+20,433013,-1,423.249,-0.00957085,0,-127819,532800,321300,0,622181,0,0.3,253.778,335.48,1e+20,1,532800,321300,-377.552,45.7015
715,352097,-1946.02,1e+20,433013,-1,422.549,-0.00949723,0,-127415,533000,321750,0,622585,0,0.3,254.504,335.569,1e+20,1,533000,321750,-376.928,45.6259
716,352589,-1948.13,1e+20,433013,-1,421.85,-0.00942419,0,-127011,533200,322200,0,622989,0,0.3,255.227,335.655,1e+20,1,533200,322200,-376.304,45.5505
717,353082,-1950.22,1e+20,433013,-1,421.152,-0.0093506,0,-126607,533400,322650,0,623393,0,0.3,255.948,335.74,1e+20,1,533400,322650,-375.681,45.4751
718,353574,-1952.31,1e+20,433013,-1,420.456,-0.00927643,0,-126203,533600,323100,0,623797,0,0.3,256.669,335.824,1e+20,1,533600,323100,-375.06,45.3999
719,354066,-1954.39,1e+20,433013,-1,419.761,-0.00920266,0,-125799,533800,323550,0,624201,0,0.3,257.387,335.907,1e+20,1,533800,323550,-374.441,45.3249
720,354559,-1956.51,1e+20,433013,-1,419.07,-0.00912857,0,-125394,534000,324000,0,624606,0,0.3,258.103,335.991,1e+20,1,534000,324000,-373.824,45.2502
721,355051,-1958.61,1e+20,433013,-1,418.379,-0.00905415,0,-124990,534200,324450,0,625010,0,0.3,258.819,336.075,1e+20,1,534200,324450,-373.208,45.1756
722,355544,-1960.69,1e+20,433013,-1,417.69,-0.00897961,0,-124585,534400,324900,0,625415,0,0.3,259.531,336.155,1e+20,1,534400,324900,-372.593,45.1013
723,356036,-1962.76,1e+20,433013,-1,417.002,-0.00890521,0,-124181,534600,325350,0,625819,0,0.3,260.242,336.235,1e+20,1,534600,325350,-371.98,45.027
724,356529,-1964.89,1e+20,433013,-1,416.318,-0.0088302,0,-123776,534800,325800,0,626224,0,0.3,260.952,336.318,1e+20,1,534800,325800,-371.37,44.9531
725,357021,-1967.01,1e+20,433013,-1,415.636,-0.00875576,0,-123371,535000,326250,0,626629,0,0.3,261.659,336.399,1e+20,1,535000,326250,-370.761,44.8795
726,357514,-1969.06,1e+20,433013,-1,414.953,-0.00868093,0,-122966,535200,326700,0,627034,0,0.3,262.364,336.476,1e+20,1,535200,326700,-370.152,44.8057
727,358006,-1971.17,1e+20,433013,-1,414.274,-0.00860566,0,-122560,535400,327150,0,627439,0,0.3,263.069,336.556,1e+20,1,535400,327150,-369.546,44.7323
728,358498,-1973.25,1e+20,433013,-1,413.595,-0.00853106,0,-122155,535600,327600,0,627845,0,0.3,263.77,336.634,1e+20,1,535600,327600,-368.94,44.6591
729,358991,-1975.37,1e+20,433013,-1,412.921,-0.00845622,0,-121750,535800,328050,0,628250,0,0.3,264.469,336.714,1e+20,1,535800,328050,-368.339,44.5863
730,359483,-1977.46,1e+20,433013,-1,412.246,-0.00838102,0,-121344,536000,328500,0,628656,0,0.3,265.168,336.792,1e+20,1,536000,328500,-367.737,44.5134
731,359976,-1979.53,1e+20,433013,-1,411.573,-0.00830615,0,-120938,536200,328950,0,629062,0,0.3,265.863,336.868,1e+20,1,536200,328950,-367.137,44.4408
732,360468,-1981.62,1e+20,433013,-1,410.902,-0.00823137,0,-120532,536400,329400,0,629468,0,0.3,266.556,336.944,1e+20,1,536400,329400,-366.538,44.3683
733,360961,-1983.74,1e+20,433013,-1,410.235,-0.00815629,0,-120126,536600,329850,0,629873,0,0.3,267.249,337.023,1e+20,1,536600,329850,-365.943,44.2963
734,361453,-1985.84,1e+20,433013,-1,409.569,-0.0080817,0,-119720,536800,330300,0,630280,0,0.3,267.938,337.099,1e+20,1,536800,330300,-365.348,44.2243
735,361946,-1987.89,1e+20,433013,-1,408.902,-0.00800699,0,-119314,537000,330750,0,630686,0,0.3,268.625,337.173,1e+20,1,537000,330750,-364.754,44.1523
736,362438,-1990,1e+20,433013,-1,408.24,-0.00793197,0,-118908,537200,331200,0,631092,0,0.3,269.311,337.251,1e+20,1,537200,331200,-364.163,44.0808
737,362930,-1992.08,1e+20,433013,-1,407.578,-0.00785773,0,-118501,537400,331650,0,631499,0,0.3,269.994,337.325,1e+20,1,537400,331650,-363.572,44.0093
738,363423,-1994.21,1e+20,433013,-1,406.921,-0.00778341,0,-118095,537600,332100,0,631905,0,0.3,270.675,337.402,1e+20,1,537600,332100,-362.986,43.9383
739,363915,-1996.28,1e+20,433013,-1,406.262,-0.00770869,0,-117688,537800,332550,0,632312,0,0.3,271.355,337.477,1e+20,1,537800,332550,-362.398,43.8672
740,364408,-1998.34,1e+20,433013,-1,405.606,-0.00763462,0,-117281,538000,333000,0,632719,0,0.3,272.031,337.551,1e+20,1,538000,333000,-361.813,43.7963
741,364900,-2000.44,1e+20,433013,-1,404.952,-0.00756065,0,-116874,538200,333450,0,633126,0,0.3,272.705,337.626,1e+20,1,538200,333450,-361.23,43.7258
742,365393,-2002.56,1e+20,433013,-1,404.301,-0.00748658,0,-116467,538400,333900,0,633533,0,0.3,273.379,337.703,1e+20,1,538400,333900,-360.649,43.6555
743,365885,-2004.63,1e+20,433013,-1,403.651,-0.00741296,0,-116060,538600,334350,0,633940,0,0.3,274.048,337.776,1e+20,1,538600,334350,-360.069,43.5853
744,366378,-2006.68,1e+20,433013,-1,403.001,-0.00733939,0,-115653,538800,334800,0,634347,0,0.3,274.716,337.849,1e+20,1,538800,334800,-359.489,43.515
745,366870,-2008.8,1e+20,433013,-1,402.356,-0.00726571,0,-115245,539000,335250,0,634755,0,0.3,275.382,337.926,1e+20,1,539000,335250,-358.914,43.4454
746,367362,-2010.88,1e+20,433013,-1,401.711,-0.0071928,0,-114838,539200,335700,0,635162,0,0.3,276.045,337.999,1e+20,1,539200,335700,-358.339,43.3758
747,367855,-2012.98,1e+20,433013,-1,401.069,-0.00711989,0,-114430,539400,336150,0,635570,0,0.3,276.706,338.074,1e+20,1,539400,336150,-357.766,43.3065
748,368347,-2015.05,1e+20,433013,-1,400.428,-0.00704673,0,-114022,539600,336600,0,635978,0,0.3,277.365,338.149,1e+20,1,539600,336600,-357.194,43.2372
749,368840,-2017.11,1e+20,433013,-1,399.788,-0.00697433,0,-113614,539800,337050,0,636386,0,0.3,278.021,338.222,1e+20,1,539800,337050,-356.623,43.1681
750,369332,-2019.21,1e+20,433013,-1,399.152,-0.0069021,0,-113206,540000,337500,0,636794,0,0.3,278.674,338.297,1e+20,1,540000,337500,-356.056,43.0994
751,369825,-2021.33,1e+20,433013,-1,398.517,-0.00682986,0,-112798,540200,337950,0,637202,0,0.3,279.328,338.374,1e+20,1,540200,337950,-355.49,43.0309
752,370317,-2023.38,1e+20,433013,-1,397.883,-0.00675807,0,-112390,540400,338400,0,637610,0,0.3,279.976,338.447,1e+20,1,540400,338400,-354.924,42.9625
753,370810,-2025.43,1e+20,433013,-1,397.25,-0.00668644,0,-111981,540600,338850,0,638019,0,0.3,280.622,338.52,1e+20,1,540600,338850,-354.36,42.8941
754,371302,-2027.54,1e+20,433013,-1,396.622,-0.00661488,0,-111573,540800,339300,0,638427,0,0.3,281.268,338.598,1e+20,1,540800,339300,-353.799,42.8263
755,371794,-2029.63,1e+20,433013,-1,395.995,-0.00654408,0,-111164,541000,339750,0,638836,0,0.3,281.909,338.673,1e+20,1,541000,339750,-353.239,42.7585
756,372287,-2031.69,1e+20,433013,-1,395.368,-0.00647324,0,-110755,541200,340200,0,639244,0,0.3,282.548,338.747,1e+20,1,541200,340200,-352.68,42.6909
757,372779,-2033.77,1e+20,433013,-1,394.744,-0.0064024,0,-110347,541400,340650,0,639653,0,0.3,283.186,338.824,1e+20,1,541400,340650,-352.124,42.6235
758,373272,-2035.82,1e+20,433013,-1,394.121,-0.00633231,0,-109938,541600,341100,0,640062,0,0.3,283.82,338.898,1e+20,1,541600,341100,-351.568,42.5562
759,373764,-2037.93,1e+20,433013,-1,393.502,-0.00626249,0,-109528,541800,341550,0,640471,0,0.3,284.451,338.975,1e+20,1,541800,341550,-351.016,42.4894
760,374257,-2040.01,1e+20,433013,-1,392.883,-0.00619258,0,-109119,542000,342000,0,640881,0,0.3,285.082,339.053,1e+20,1,542000,342000,-350.464,42.4225
761,374749,-2042.06,1e+20,433013,-1,392.266,-0.00612334,0,-108710,542200,342450,0,641290,0,0.3,285.708,339.128,1e+20,1,542200,342450,-349.913,42.3559
762,375241,-2044.12,1e+20,433013,-1,391.65,-0.00605426,0,-108300,542400,342900,0,641699,0,0.3,286.332,339.204,1e+20,1,542400,342900,-349.364,42.2894
763,375734,-2046.22,1e+20,433013,-1,391.038,-0.00598535,0,-107891,542600,343350,0,642109,0,0.3,286.955,339.284,1e+20,1,542600,343350,-348.818,42.2233
764,376226,-2048.31,1e+20,433013,-1,390.428,-0.00591721,0,-107481,542800,343800,0,642519,0,0.3,287.574,339.361,1e+20,1,542800,343800,-348.274,42.1574
765,376719,-2050.34,1e+20,433013,-1,389.817,-0.00584897,0,-107071,543000,344250,0,642928,0,0.3,288.19,339.437,1e+20,1,543000,344250,-347.729,42.0915
766,377211,-2052.42,1e+20,433013,-1,389.21,-0.00578096,0,-106662,543200,344700,0,643338,0,0.3,288.805,339.518,1e+20,1,543200,344700,-347.187,42.0259
767,377704,-2054.47,1e+20,433013,-1,388.603,-0.00571364,0,-106251,543400,345150,0,643748,0,0.3,289.416,339.594,1e+20,1,543400,345150,-346.646,41.9604
768,378196,-2056.57,1e+20,433013,-1,388.002,-0.0056467,0,-105841,543600,345600,0,644159,0,0.3,290.024,339.676,1e+20,1,543600,345600,-346.109,41.8954
769,378689,-2058.63,1e+20,433013,-1,387.399,-0.00557961,0,-105431,543800,346050,0,644569,0,0.3,290.632,339.756,1e+20,1,543800,346050,-345.571,41.8303
770,379181,-2060.67,1e+20,433013,-1,386.798,-0.00551329,0,-105021,544000,346500,0,644979,0,0.3,291.234,339.834,1e+20,1,544000,346500,-345.035,41.7655
771,379673,-2062.73,1e+20,433013,-1,386.2,-0.0054472,0,-104610,544200,346950,0,645390,0,0.3,291.835,339.915,1e+20,1,544200,346950,-344.501,41.7008
772,380166,-2064.82,1e+20,433013,-1,385.604,-0.00538129,0,-104200,544400,347400,0,645800,0,0.3,292.434,339.999,1e+20,1,544400,347400,-343.97,41.6365
773,380658,-2066.88,1e+20,433013,-1,385.01,-0.00531611,0,-103789,544600,347850,0,646211,0,0.3,293.028,340.08,1e+20,1,544600,347850,-343.44,41.5723
774,381151,-2068.9,1e+20,433013,-1,384.415,-0.0052509,0,-103378,544800,348300,0,646622,0,0.3,293.621,340.16,1e+20,1,544800,348300,-342.909,41.5081
775,381643,-2070.99,1e+20,433013,-1,383.825,-0.00518605,0,-102967,545000,348750,0,647033,0,0.3,294.212,340.245,1e+20,1,545000,348750,-342.383,41.4444
776,382136,-2073.03,1e+20,433013,-1,383.235,-0.00512186,0,-102556,545200,349200,0,647444,0,0.3,294.798,340.327,1e+20,1,545200,349200,-341.857,41.3807
